one	0	one	test	the first number
two	0	two	test	the second number
three	0	three	test	the third number
four	0	four	test	the fourth number
five	0	five	test	the fifth number
six	0	fix	test	the sixth number
seven	0	seven	test	the seventh number
eight	0	eight	test	the eighth number
nine	0	nine	test	the ninth number
ten	0	ten	test	the tenth number
eleven	0	eleven	test	the eleventh number
twelve	0	twelve	test	the twelfth number
thirteen	0	thirteen	test	the thirteenth number
fourteen	0	fourteen	test	the fourteenth number
fifteen	0	fifteen	test	the fifteenth number
sixteen	0	sixteen	test	the sixteenth number
seventeen	0	seventeen	test	the seventeenth number
eighteen	0	eighteen	test	the eighteenth number
nineteen	0	nineteen	test	the nineteenth number
twenty	0	twelve	test	the twentieth number

tokyo	1	Tokyo	test	the capital city of Japan
japan	1	Japan	test	a country in the east of Asia
japan	2	japan	test	lacquer with a durable glossy black finish
japan	3	Japan	test	a british rock'n roll band

!"#$%&'()*+,-./	0	ASCII TEST 1	test	normalize test
0123456789:;<=>?	0	ASCII TEST 2	test	normalize test
@ABCDEFGHIJKLMNO	0	ASCII TEST 3	test	normalize test
PQRSTUVWXYZ[\]^_	0	ASCII TEST 4	test	normalize test
`abcdefghijklmno	0	ASCII TEST 5	test	normalize test
pqrstuvwxyz{|}~	0	ASCII TEST 6	test	normalize test
ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏ	0	LATIN TEST 1	test	normalize test
ÐÑÒÓÔÕÖ×ØÙÚÛÜÝÞß	0	LATIN TEST 2	test	normalize test
àáâãäåæçèéêëìíîï	0	LATIN TEST 3	test	normalize test
ðñòóôõö÷øùúûüýþÿ	0	LATIN TEST 4	test	normalize test
ĀāĂăĄąĆćĈĉĊċČčĎď	0	LATIN TEST 5	test	normalize test
ĐđĒēĔĕĖėĘęĚěĜĝĞğ	0	LATIN TEST 6	test	normalize test
ĠġĢģĤĥĦħĨĩĪīĬĭĮį	0	LATIN TEST 7	test	normalize test
İıĲĳĴĵĶķĸĹĺĻļĽľĿ	0	LATIN TEST 8	test	normalize test
ŀŁłŃńŅņŇňŉŊŋŌōŎŏ	0	LATIN TEST 9	test	normalize test
ŐőŒœŔŕŖŗŘřŚśŜŝŞş	0	LATIN TEST 10	test	normalize test
ŠšŢţŤťŦŧŨũŪūŬŭŮů	0	LATIN TEST 11	test	normalize test
ŰűŲųŴŵŶŷŸŹźŻżŽžſ	0	LATIN TEST 12	test	normalize test
ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠ΢ΡΣΤΥΦΧΨΩϘϚϜϞϠϢϤϦϨϪϬϮ	0	GREEK TEST 1	test	normalize test
αβγδεζηθικλμνξοπρςστυφχψωϙϛϝϟϡϣϥϧϩϫϭϯ	0	test	GREEK TEST 2	normalize test
АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЀЁЂЃЄЅІЇЈЉЊЋЌЍЎЏ	0	CYRILLIC TEST 1	test	normalize test
абвгдежзийклмнопрстуфхцчшщъыьэюяѐёђѓєѕіїјљњћќѝўџ	test	0	CYRILLIC TEST 2	normalize test
ｱｲｳｴｵｶｷｸｹｺｻｼｽｾｿﾀﾁﾂﾃﾄ	0	test	HALFWIDTH KANA TEST 1	normalize test
ﾅﾆﾇﾈﾉﾊﾋﾌﾍﾎﾏﾐﾑﾒﾉﾔﾕﾖ	0	HALFWIDTH KANA TEST 2	test	normalize test
ﾗﾘﾙﾚﾛﾜｦﾝｳﾞ	0	HALFWIDTH KANA TEST 3	test	normalize test
ｶﾞｷﾞｸﾞｹﾞｺﾞﾀﾞﾁﾞﾂﾞﾃﾞﾄﾞ	0	HALFWIDTH KANA TEST 4	test	normalize test
ﾊﾞﾋﾞﾌﾞﾍﾞﾎﾞﾊﾟﾋﾟﾌﾟﾍﾟﾎﾟ	0	HALFWIDTH KANA TEST 5	test	normalize test
｡｢｣､･	0	HALFWIDTH KANA TEST 6	test	normalize test
１２３４５６７８９０	0	FULLWIDTH KANA TEST 1	test	normalize test
ＡＢＣＤＥＦＧＨＩＪＫＬＭＮＯＰＱＲＳＴＵＶＷＸＹＺ	0	FULLWIDTH KANA TEST 2	test	normalize test
ａｂｃｄｅｆｇｈｉｊｋｌｍｎｏｐｑｒｓｔｕｖｗｘｙｚ	0	FULLWIDTH KANA TEST 3	test	normalize test
，．：；？！´｀¨＾￣＿—‐／＼〜｜	0	FULLWIDTH MARK TEST 1	test	normalize test
‘’“”（）〔〕［］｛｝〈〉＋−＝＜＞′″	0	FULLWIDTH KANA MARK TEST 2	test	normalize test
￥＄＃＆＊＠♯	0	FULLWIDTH MARK TEST 3	test	normalize test
